x1,x2,x3,x4,t
-6.819742,-6.714084,25.162002,-80.794582,3.090000
-6.816010,-6.846853,24.955929,-80.344874,3.100000
-6.825866,-6.991875,24.764841,-79.927801,3.110000
-6.849148,-7.148425,24.590096,-79.545948,3.120000
-6.885640,-7.315749,24.433018,-79.201751,3.130000
-6.935071,-7.493056,24.294900,-78.897522,3.140000
-6.997121,-7.679496,24.177002,-78.635459,3.150000
-7.071412,-7.874142,24.080548,-78.417656,3.160000
-7.157513,-8.075976,24.006717,-78.246105,3.170000
-7.254929,-8.283864,23.956632,-78.122696,3.180000
-7.363101,-8.496540,23.931344,-78.049202,3.190000
-7.481392,-8.712594,23.931814,-78.027268,3.200000
-7.609088,-8.930449,23.958887,-78.058377,3.210000
-7.745380,-9.148355,24.013265,-78.143821,3.220000
-7.889364,-9.364383,24.095471,-78.284650,3.230000
-8.040028,-9.576418,24.205817,-78.481620,3.240000
-8.196247,-9.782169,24.344360,-78.735128,3.250000
-8.356777,-9.979181,24.510859,-79.045132,3.260000
-8.520252,-10.164858,24.704735,-79.411071,3.270000
-8.685182,-10.336498,24.925028,-79.831776,3.280000
-8.849959,-10.491335,25.170353,-80.305376,3.290000
-9.012866,-10.626598,25.438876,-80.829205,3.300000
-9.172085,-10.739579,25.728282,-81.399724,3.310000
-9.325722,-10.827710,26.035772,-82.012445,3.320000
-9.471827,-10.888648,26.358057,-82.661885,3.330000
-9.608428,-10.920368,26.691393,-83.341547,3.340000
-9.733568,-10.921251,27.031615,-84.043938,3.350000
-9.845344,-10.890176,27.374204,-84.760627,3.360000
-9.941955,-10.826590,27.714377,-85.482358,3.370000
-10.021750,-10.730575,28.047189,-86.199210,3.380000
-10.083273,-10.602887,28.367654,-86.900801,3.390000
-10.125313,-10.444971,28.670881,-87.576541,3.400000
-10.146947,-10.258947,28.952209,-88.215917,3.410000
-10.147568,-10.047569,29.207343,-88.808787,3.420000
-10.126921,-9.814154,29.432475,-89.345691,3.430000
-10.085112,-9.562482,29.624391,-89.818135,3.440000
-10.022614,-9.296684,29.780554,-90.218846,3.450000
-9.940262,-9.021105,29.899158,-90.541977,3.460000
-9.839228,-8.740176,29.979150,-90.783257,3.470000
-9.720994,-8.458274,30.020221,-90.940070,3.480000
-9.587308,-8.179600,30.022775,-91.011462,3.490000
-9.440141,-7.908073,29.987865,-90.998090,3.500000
-9.281630,-7.647238,29.917117,-90.902109,3.510000
-9.114027,-7.400210,29.812635,-90.727014,3.520000
-8.939642,-7.169625,29.676907,-90.477449,3.530000
-8.760793,-6.957633,29.512706,-90.158991,3.540000
-8.579759,-6.765899,29.322995,-89.777939,3.550000
-8.398737,-6.595623,29.110842,-89.341095,3.560000
-8.219808,-6.447586,28.879347,-88.855566,3.570000
-8.044913,-6.322186,28.631582,-88.328591,3.580000
-7.875827,-6.219498,28.370539,-87.767379,3.590000
-7.714151,-6.139325,28.099099,-87.178993,3.600000
-7.561304,-6.081254,27.820005,-86.570245,3.610000
-7.418523,-6.044704,27.535848,-85.947630,3.620000
-7.286864,-6.028977,27.249068,-85.317271,3.630000
-7.167213,-6.033294,26.961948,-84.684899,3.640000
-7.060296,-6.056831,26.676625,-84.055838,3.650000
-6.966689,-6.098744,26.395101,-83.435013,3.660000
-6.886833,-6.158194,26.119255,-82.826961,3.670000
-6.821049,-6.234357,25.850857,-82.235859,3.680000
-6.769549,-6.326434,25.591585,-81.665547,3.690000
-6.732451,-6.433654,25.343036,-81.119566,3.700000
-6.709789,-6.555275,25.106743,-80.601186,3.710000
-6.701524,-6.690573,24.884185,-80.113444,3.720000
-6.707554,-6.838842,24.676800,-79.659172,3.730000
-6.727719,-6.999370,24.485990,-79.241030,3.740000
-6.761805,-7.171434,24.313131,-78.861530,3.750000
-6.809549,-7.354280,24.159573,-78.523060,3.760000
-6.870639,-7.547101,24.026646,-78.227904,3.770000
-6.944712,-7.749021,23.915650,-77.978252,3.780000
-7.031353,-7.959073,23.827856,-77.776210,3.790000
-7.130088,-8.176174,23.764493,-77.623800,3.800000
-7.240379,-8.399110,23.726733,-77.522955,3.810000
-7.361618,-8.626509,23.715673,-77.475502,3.820000
-7.493113,-8.856826,23.732312,-77.483140,3.830000
-7.634084,-9.088326,23.777520,-77.547409,3.840000
-7.783650,-9.319074,23.852004,-77.669641,3.850000
-7.940819,-9.546926,23.956272,-77.850908,3.860000
-8.104480,-9.769527,24.090586,-78.091953,3.870000
-8.273393,-9.984328,24.254916,-78.393111,3.880000
-8.446186,-10.188593,24.448890,-78.754220,3.890000
-8.621348,-10.379439,24.671745,-79.174518,3.900000
-8.797233,-10.553874,24.922280,-79.652540,3.910000
-8.972063,-10.708853,25.198809,-80.186009,3.920000
-9.143939,-10.841348,25.499130,-80.771731,3.930000
-9.310862,-10.948432,25.820502,-81.405503,3.940000
-9.470749,-11.027370,26.159636,-82.082033,3.950000
-9.621471,-11.075723,26.512709,-82.794901,3.960000
-9.760888,-11.091451,26.875400,-83.536543,3.970000
-9.886891,-11.073018,27.242949,-84.298296,3.980000
-9.997456,-11.019484,27.610243,-85.070485,3.990000
-10.090695,-10.930594,27.971924,-85.842579,4.000000
-10.164907,-10.806827,28.322524,-86.603396,4.010000
-10.218639,-10.649437,28.656605,-87.341371,4.020000
-10.250734,-10.460448,28.968924,-88.044861,4.030000
-10.260369,-10.242623,29.254580,-88.702486,4.040000
-10.247101,-9.999393,29.509168,-89.303480,4.050000
-10.210879,-9.734760,29.728908,-89.838028,4.060000
-10.152065,-9.453166,29.910748,-90.297581,4.070000
-10.071420,-9.159351,30.052440,-90.675115,4.080000
-9.970096,-8.858195,30.152576,-90.965323,4.090000
-9.849598,-8.554564,30.210593,-91.164735,4.100000
-9.711744,-8.253163,30.226737,-91.271751,4.110000
-9.558613,-7.958403,30.202001,-91.286605,4.120000
-9.392491,-7.674297,30.138042,-91.211247,4.130000
-9.215801,-7.404379,30.037074,-91.049175,4.140000
-9.031049,-7.151654,29.901761,-90.805219,4.150000
-8.840762,-6.918573,29.735096,-90.485304,4.160000
-8.647432,-6.707035,29.540298,-90.096197,4.170000
-8.453469,-6.518414,29.320712,-89.645260,4.180000
-8.261160,-6.353595,29.079717,-89.140222,4.190000
-8.072639,-6.213033,28.820659,-88.588966,4.200000
-7.889859,-6.096808,28.546792,-87.999354,4.210000
-7.714582,-6.004694,28.261238,-87.379079,4.220000
-7.548367,-5.936215,27.966959,-86.735553,4.230000
-7.392571,-5.890712,27.666740,-86.075822,4.240000
-7.248349,-5.867393,27.363188,-85.406514,4.250000
-7.116671,-5.865379,27.058729,-84.733802,4.260000
-6.998326,-5.883748,26.755621,-84.063400,4.270000
-6.893938,-5.921564,26.455966,-83.400566,4.280000
-6.803987,-5.977901,26.161727,-82.750120,4.290000
